53,-57
71,-63
-76,60
47,-16
-112,-209
-82,24
-5,-65
37,190
-96,-108
18,33
-3,-45
-49,10
-9,30
-70,143
14,28
29,-31
8,-95
53,9
-79,37
-39,65
13,-41
75,-90
31,185
-124,-78
-140,109
3,38
-7,21
107,155
-10,55
25,-5
-69,-104
30,109
115,48
-127,-34
-18,36
42,-8
-53,24
93,11
-99,43
89,-136
68,-197
116,111
14,-10
69,56
-168,-32
-7,88
99,54
95,-44
-17,-7
101,-26
-24,195
-13,78
-74,8
-30,-51
142,-70
-1,89
-61,43
-20,13
-27,50
-67,33
50,21
13,-26
73,-88
-31,-146
28,51
24,16
103,-114
-105,-23
38,-58
49,40
-18,-108
-95,107
-106,94
-82,15
-35,7
92,82
-36,-40
-42,86
31,59
-110,-154
-21,100
46,-61
12,72
138,84
-26,79
-32,149
-15,96
95,-13
-49,69
47,-79
143,-57
-45,-20
-135,9
14,-75
-70,145
-56,-96
45,-191
38,-134
-120,-225
110,130
32,-117
51,11
118,-298
-76,-12
33,191
34,48
-6,100
-85,40
-37,53
32,149
-77,44
50,-70
-21,30
-74,-31
-82,101
22,-56
80,-121
62,-93
39,-1
-4,-90
23,22
98,14
-86,15
-17,-18
-149,106
133,-31
46,-246
122,-30
-61,-61
-21,17
-59,50
-42,29
153,21
-151,88
127,-13
172,-11
-31,-47
-15,5
8,-67
-60,-58
13,-133
-50,-18
-97,76
-10,27
-43,48
33,146
56,36
2,-208
105,-22
24,13
4,128
-4,15
-213,22
121,-26
40,-3
46,6
20,22
75,56
-46,-68
9,109
-26,-214
-8,31
-120,55
-84,157
-76,-1
77,8
122,-125
-6,-171
-21,-5
-50,-47
-2,35
-13,-7
80,37
141,131
-45,36
177,-135
-6,-34
58,-98
1,109
96,104
34,-75
100,129
51,61
-27,-95
168,-86
203,4
106,-42
-99,-31
107,230
164,-4
-15,49
48,5
-56,149
4,30
83,-10
-53,-1
8,37
-13,-58
-70,-63
-49,-3
-72,45
73,-12
25,-68
-51,-149
126,-88
69,38
23,41
186,-166
109,-23
50,42
38,33
67,71
-21,-57
-71,88
-111,99
101,-10
-2,102
64,57
-8,25
-55,-5
-37,-50
-113,7
6,44
2,98
-94,-7
-71,-18
98,29
19,175
-48,-33
97,10
-38,-47
118,15
90,32
0,-16
3,35
-47,11
49,54
-125,-16
90,-46
-32,41
-44,-23
16,101
-7,-48
61,60
-79,90
103,47
-42,81
-41,15
185,-93
-48,-72
129,95
51,94
-56,37
-6,96
-71,47
37,-15
-9,32
-25,-31
-114,-162
-15,1
-100,20
-52,-142
159,54
-50,-25
57,8
53,-23
-75,35
10,103
13,-9
75,-155
96,-22
-24,45
42,155
63,-149
-180,-166
-51,-48
-79,-21
-78,-46
34,-57
-35,-25
-26,-157
199,-13
203,-45
-37,-13
84,-19
-19,69
-40,-31
-8,-97
53,10
-35,50
113,107
65,46
-86,48
20,-86
-64,-55
57,-55
52,-80
98,92
85,53
-49,34
35,-8
34,119
-115,129
65,40
-139,-56
71,-109
19,-44
-20,111
-31,-16
78,57
101,99
49,64
53,-49
-48,-6
-97,-141
-33,99
157,70
75,-44
-6,70
21,193
-21,75
97,-8
84,125
114,42
237,59
-51,11
51,-25
-157,17
50,99
-158,124
-85,-97
-131,-81
-5,46
-69,88
169,33
79,53
-54,80
33,-173
18,29
33,130
77,-100
15,-100
96,31
-109,4
-62,22
-89,47
-57,-38
117,-81
-12,82
-135,-117
31,83
26,-9
-108,43
86,-50
88,-10
-144,-93
40,-98
-1,-189
-98,21
-31,98
-31,7
-74,-39
33,-51
69,-92
151,-55
84,48
-97,-77
-86,91
63,50
141,-64
-26,15
91,194
40,22
-35,58
38,-94
25,-64
-211,11
8,-169
1,-3
57,-41
-66,11
-22,30
31,80
-76,-54
126,50
81,-157
-63,-36
-19,24
60,-59
-46,-50
-44,11
66,-74
161,8
-63,-85
-99,-41
72,8
12,59
-58,86
-18,27
-64,52
-112,115
10,41
21,49
3,78
10,-61
18,34
-75,25
-144,-30
123,-104
9,-56
-121,40
-15,-68
97,-78
66,-54
74,-10
-85,111
40,8
25,-88
29,13
106,-31
8,-34
115,81
128,-130
71,183
-32,-54
-63,45
107,75
87,-66
-46,-21
-11,-90
56,117
171,55
40,-7
19,33
-24,11
92,26
33,-168
98,164
-93,-29
214,-41
69,87
9,96
44,72
47,68
78,9
84,133
39,98
67,90
73,93
-164,-43
33,-84
-31,-69
100,-30
103,-16
-154,134
94,-95
-6,-65
50,56
-5,-70
-78,-106
132,-13
4,-190
12,-16
95,55
-69,63
182,90
13,24
-106,23
20,-15
-43,-3
118,-23
-33,78
-147,18
8,124
-71,-102
-221,158
98,69
69,-62
52,-21
20,-63
58,-94
-77,-32
-38,-42
-43,-22
-7,51
-75,52
-218,-69
-69,-60
130,44
4,-102
162,-1
35,28
-19,51
-26,-81
-51,195
-91,26
63,-83
-169,-1
-40,-42
39,-20
-40,79
-50,71
111,30
60,-16
-64,-175
-195,0
-93,125
-44,4
-59,-34
-162,-44
-190,-16
-115,-16
33,35
-152,-72
88,-23
21,-78
-21,-41
10,-54
-57,-88
-74,25
5,63
89,109
-50,32
116,33
-99,-56
126,-90
-81,37
-29,-21
34,-25
-23,-94
-224,-34
-148,33
23,158
19,-4
